textbox22
generated on 18/10/2017 10:46:27 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Germany,European Region of WHO,South West Europe,2012,1,2012-01-02,2012-01-08,,44,0,0,2,,0,2,0,0,0,0,2,,Sporadic
Germany,European Region of WHO,South West Europe,2012,2,2012-01-09,2012-01-15,,42,0,0,8,,0,8,0,0,0,0,8,,Sporadic
Germany,European Region of WHO,South West Europe,2012,3,2012-01-16,2012-01-22,,55,0,0,15,,0,15,0,0,0,0,15,,Sporadic
Germany,European Region of WHO,South West Europe,2012,4,2012-01-23,2012-01-29,,65,0,0,25,,0,25,0,0,0,0,25,,Sporadic
Germany,European Region of WHO,South West Europe,2012,5,2012-01-30,2012-02-05,,64,0,0,26,,0,26,0,1,0,1,27,,Local Outbreak
Germany,European Region of WHO,South West Europe,2012,6,2012-02-06,2012-02-12,,71,0,0,34,,0,34,0,3,0,3,37,,Regional Outbreak
Germany,European Region of WHO,South West Europe,2012,7,2012-02-13,2012-02-19,,98,0,0,33,,0,33,0,6,0,6,39,,Regional Outbreak
Germany,European Region of WHO,South West Europe,2012,8,2012-02-20,2012-02-26,,114,0,2,58,,0,60,1,6,0,7,67,,Regional Outbreak
Germany,European Region of WHO,South West Europe,2012,9,2012-02-27,2012-03-04,,147,0,1,67,,0,68,3,2,0,5,73,,Regional Outbreak
Germany,European Region of WHO,South West Europe,2012,10,2012-03-05,2012-03-11,,132,0,0,73,,0,73,1,7,0,8,81,,Regional Outbreak
Germany,European Region of WHO,South West Europe,2012,11,2012-03-12,2012-03-18,,118,0,1,36,,0,37,2,9,0,11,48,,Regional Outbreak
